No1,Name1,No2,Name2,distance
5 AG,A/SWINE/MINNESOTA/A02245409/2020,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.364843307429626
5 AG,A/SWINE/MINNESOTA/A02245409/2020,1 SR,A/SWINE/IOWA/A02479002/2020 639,7.050672512523421
5 AG,A/SWINE/MINNESOTA/A02245409/2020,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,0.7037841237181931
5 AG,A/SWINE/MINNESOTA/A02245409/2020,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,1.5595908458876118
5 AG,A/SWINE/MINNESOTA/A02245409/2020,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,2.350540232546228
5 AG,A/SWINE/MINNESOTA/A02245409/2020,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,1.181921623349437
5 AG,A/SWINE/MINNESOTA/A02245409/2020,6 SR,A/SWINE/KANSAS/A02245346/2019 646,0.8893291816837705
5 AG,A/SWINE/MINNESOTA/A02245409/2020,7 SR,A/SWINE/KANSAS/A02245346/2019 647,1.3648713781226876
5 AG,A/SWINE/MINNESOTA/A02245409/2020,8 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 644,1.2183739197048167
5 AG,A/SWINE/MINNESOTA/A02245409/2020,9 SR,A/SWINE/NORTH CAROLINA/A02479062/2020 645,2.407904647766507
5 AG,A/SWINE/MINNESOTA/A02245409/2020,10 SR,A/SWINE/MINNESOTA/A02245409/2020 636,0.650077482262361
5 AG,A/SWINE/MINNESOTA/A02245409/2020,11 SR,A/SWINE/MINNESOTA/A02245409/2020 637,0.8531442212785062
5 AG,A/SWINE/MINNESOTA/A02245409/2020,12 SR,A/SWINE/IOWA/A02479110/2020 640,2.0634467662265745
5 AG,A/SWINE/MINNESOTA/A02245409/2020,13 SR,A/SWINE/IOWA/A02479110/2020 641,0.8280572084478454
6 AG,A/SWINE/IOWA/A02479110/2020,0 SR,A/SWINE/IOWA/A02479002/2020 638,6.224455711098082
6 AG,A/SWINE/IOWA/A02479110/2020,1 SR,A/SWINE/IOWA/A02479002/2020 639,6.927576789980985
6 AG,A/SWINE/IOWA/A02479110/2020,2 SR,A/SWINE/CALIFORNIA/A02478680/2019 648,0.32477967013626474
6 AG,A/SWINE/IOWA/A02479110/2020,3 SR,A/SWINE/CALIFORNIA/A02478680/2019 649,2.1188064404035103
6 AG,A/SWINE/IOWA/A02479110/2020,4 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 642,1.9904346595136577
6 AG,A/SWINE/IOWA/A02479110/2020,5 SR,A/SWINE/SOUTH DAKOTA/A02016893/2018 643,0.7404525021150254
